date,cba,cbaw,cbad,cbadiv,wbc,wbcw,wbcd,wbcdiv,anz,anzw,anzd,anzdiv,nab,nabw,nabd,nabdiv,mqg,mqgw,mqgd,mqgdiv,ben,benw,bend,bendiv,boq,boqw,boqd,boqdiv,aba,abaw,abad,abadiv,mkt
20000103,0,23537369717,1.99E+11,0,0,19184669791,1.59E+11,0,0,16616261002,1.63E+11,0,0,32840685764,3.24E+11,0,0,4392527818,22476758000,0,0,336066521.7,4613436000,0,0,274243658.7,3500202000,0,0,69373183.1,884779000,0,0
20000104,-1.149805996,23268240773,1.99E+11,0,-1.892847573,18825091660,1.59E+11,0,-3.685819766,16014966750,1.63E+11,0,-3.493840785,31713126409,3.24E+11,0,-2.239203342,4295286597,22476758000,0,-1.375322661,331477538.7,4613436000,0,-1.193779441,270981995.9,3500202000,0,1.401173462,70349440.2,884779000,0,-0.770759461
20000105,-2.262158079,22747756401,1.99E+11,0,-1.860055131,18478198034,1.59E+11,0,-2.752994055,15580184753,1.63E+11,0,-2.020256606,31078837162,3.24E+11,0,-2.649207598,4182975031,22476758000,0,0.592362027,333446145.9,4613436000,0,-0.302112163,270166580.2,3500202000,0,-2.816441286,68394961.7,884779000,0,-2.454772127
20000106,-1.991703079,22299087865,1.99E+11,0,-0.19762289,18441615188,1.59E+11,0,-2.524321685,15191812950,1.63E+11,0,-1.600086538,30757181935,3.24E+11,0,-0.643270871,4156141637,22476758000,0,-1.386208436,328850512.2,4613436000,0,0.501120976,271527561.8,3500202000,0,0,68394961.7,884779000,0,-0.641704251
20000107,1.000053929,22523377022,1.99E+11,0,0,18441615188,1.59E+11,0,1.362670563,15469100309,1.63E+11,0,0.871781558,31026472411,3.24E+11,0,-2.203616723,4065617288,22476758000,0,1.780617875,334756333.8,4613436000,0,-0.802239917,269357030.8,3500202000,0,1.415267824,69373183.1,884779000,0,0.799887034
20000110,2.362755898,23061815354,1.99E+11,0,1.053896079,18735895868,1.59E+11,0,1.142470076,15646909680,1.63E+11,0,1.406315675,31465935361,3.24E+11,0,0.535044176,4087404504,22476758000,0,0.194464312,335414753.1,4613436000,0,1.202845139,272612827.3,3500202000,0,1.953941523,70740335.9,884779000,0,1.98647484
20000111,-1.627480625,22689383478,1.99E+11,0,0.078079071,18750495747,1.59E+11,0,-2.811753532,15213017016,1.63E+11,0,-1.818249929,30898843055,3.24E+11,0,-0.699505964,4058900415,22476758000,0,0,335414753.1,4613436000,0,0.594165406,274243658.7,3500202000,0,-0.552768061,70349440.2,884779000,0,2.457122685
20000112,0.649401513,22837435975,1.99E+11,0,0.048885965,18759736177,1.59E+11,0,3.406738642,15740302910,1.63E+11,0,-0.782902444,30657914658,3.24E+11,0,-2.763366017,3948259544,22476758000,0,0.778381379,338041779.6,4613436000,0,-0.594165406,272612827.3,3500202000,0,-1.401173462,69373183.1,884779000,0,-2.316232403
20000113,-0.789109351,22657986605,1.99E+11,0,0.876816907,18924955066,1.59E+11,0,0.572507534,15830546285,1.63E+11,0,-0.928952657,30374443142,3.24E+11,0,-0.639059565,3923096844,22476758000,0,-1.76322632,332129307.3,4613436000,0,-0.800920696,270442296.3,3500202000,0,1.401173462,70349440.2,884779000,0,-0.288270126
20000114,1.311249373,22956798226,1.99E+11,0,1.444337233,19200319880,1.59E+11,0,1.510977067,16071667762,1.63E+11,0,2.196901667,31049162074,3.24E+11,0,2.505231483,4022690676,22476758000,0,-0.770311932,329568787.8,4613436000,0,0.201306662,270981995.9,3500202000,0,0.552768061,70740335.9,884779000,0,1.177146364
20000117,1.193167901,23232332855,1.99E+11,0,2.735119559,19732568648,1.59E+11,0,2.160101622,16422561720,1.63E+11,0,4.916892686,32614002464,3.24E+11,0,1.266853492,4073987807,22476758000,0,-0.422684673,328192092.9,4613436000,0,-2.435069909,264464536.6,3500202000,0,0,70740335.9,884779000,0,0.204273245
20000118,-0.295121897,23164125854,1.99E+11,0,0.185684497,19769345559,1.59E+11,0,1.610342491,16689197030,1.63E+11,0,1.466728525,33095859259,3.24E+11,0,0,4073987807,22476758000,0,0.996605768,331477538.7,4613436000,0,1.224946728,267726199.4,3500202000,0,0,70740335.9,884779000,0,0.207296781
20000119,-2.011058419,22702916613,1.99E+11,0,-1.21451263,19530572848,1.59E+11,0,-1.91336369,16372793995,1.63E+11,0,-1.72792278,32528916227,3.24E+11,0,0.248088283,4084046068,22476758000,0,0,331477538.7,4613436000,0,-1.01909743,265010102.5,3500202000,0,0,70740335.9,884779000,0,-1.527922079
20000120,1.179756705,22972045558,1.99E+11,0,0.188053477,19567349759,1.59E+11,0,0.458885863,16448233046,1.63E+11,0,-1.864860059,31927938701,3.24E+11,0,1.466259911,4152848390,22476758000,0,-0.19677729,330819119.4,4613436000,0,2.229220611,270981995.9,3500202000,0,-0.552768061,70349440.2,884779000,0,1.034110944
20000121,-0.274678539,22909251812,1.99E+11,0,-1.417498053,19291984945,1.59E+11,0,-1.550418654,16195142117,1.63E+11,0,-2.090311106,31267400808,3.24E+11,0,-0.649283434,4125960378,22476758000,0,-0.399114584,329508931.5,4613436000,0,0,270981995.9,3500202000,0,-1.120507699,69567648.8,884779000,0,-1.264205916
20000124,0.274678539,22972045558,1.99E+11,0,-0.095096155,19273688894,1.59E+11,0,-0.204811769,16161911136,1.63E+11,0,2.859892683,32174539514,3.24E+11,0,-0.449589431,4107477005,22476758000,0,-0.400713894,328192092.9,4613436000,0,-0.805757014,268811464.9,3500202000,0,0,69567648.8,884779000,0,-0.121204918
20000125,-0.588884312,22837435975,1.99E+11,0,-0.381750694,19200319880,1.59E+11,0,-1.986146932,15844248158,1.63E+11,0,-1.867556363,31579234403,3.24E+11,0,-1.234762227,4057083335,22476758000,0,-2.019010087,321627852,4613436000,0,0.40273763,269896730.4,3500202000,0,1.120507699,70349440.2,884779000,0,-0.685852034
20000126,0,22837435975,1.99E+11,0,0,19200319880,1.59E+11,0,0,15844248158,1.63E+11,0,0,31579234403,3.24E+11,0,0,4057083335,22476758000,0,0,321627852,4613436000,0,0,269896730.4,3500202000,0,0,70349440.2,884779000,0,0
20000127,1.637574223,23214378895,1.99E+11,0,1.433278396,19477347971,1.59E+11,0,-0.085565998,15830546285,1.63E+11,0,-2.219211356,30886154757,3.24E+11,0,-1.878736997,3981492830,22476758000,0,0.610442221,323596459.2,4613436000,0,0,269896730.4,3500202000,0,0,70349440.2,884779000,0,0.086077348
20000128,1.495619016,23564345767,1.99E+11,0,1.765852229,19824418522,1.59E+11,0,2.906873806,16297512437,1.63E+11,0,1.679094211,31409211203,3.24E+11,0,-0.212871368,3973088191,22476758000,0,2.405173635,331477538.7,4613436000,0,-0.40273763,268811464.9,3500202000,0,0,70349440.2,884779000,0,0.431385499
20000131,-0.610398943,23420714094,1.99E+11,0,-1.473882539,19534269020,1.59E+11,0,-2.5270773,15890866027,1.63E+11,0,-1.495727147,30942878915,3.24E+11,0,1.052498593,4015094304,22476758000,0,-1.594045201,326223485.7,4613436000,0,-0.404366166,267726199.4,3500202000,0,-1.120507699,69567648.8,884779000,0,0.510607218
20000201,-1.677729302,23031320689,1.99E+11,0,-1.248401237,19291984945,1.59E+11,0,-0.95230404,15740302910,1.63E+11,0,-0.233837707,30870630251,3.24E+11,0,-0.839627226,3981492830,22476758000,0,0.597439433,328192092.9,4613436000,0,0,267726199.4,3500202000,0,1.67327576,70740335.9,884779000,0,-0.258129649
20000202,-0.045856971,23020494181,1.99E+11,0,0.852726458,19457203834,1.59E+11,0,-0.479574564,15664863859,1.63E+11,0,0.868450736,31139771453,3.24E+11,0,0,3981492830,22476758000,0,-1.202935251,324254878.5,4613436000,0,-0.406007927,266640933.9,3500202000,0,-1.953941523,69373183.1,884779000,0,1.230084323
20000203,-1.785441828,22613146818,1.99E+11,0,1.683943861,19787641611,1.59E+11,0,-0.86922607,15529420051,1.63E+11,0,-1.707727375,30612535332,3.24E+11,0,-0.423713698,3964683551,22476758000,0,0.805039151,326881905,4613436000,0,-0.20458983,266095368,3500202000,0,-4.319326002,66440483.2,884779000,0,1.043425484
20000204,1.417827053,22936227861,1.99E+11,0,-0.213636698,19745505250,1.59E+11,0,0.86922607,15664863859,1.63E+11,0,0.609334538,30799725053,3.24E+11,0,1.263340924,4015094304,22476758000,0,-1.010671767,323596459.2,4613436000,0,1.417701554,269896730.4,3500202000,0,2.904058178,68394961.7,884779000,0,-0.756707242
